"","Label","El1","El2","sim","sne","sor","ymin"
"3322","Nevada, USA",600,2400,0.869565217391304,0.0614692653673163,0.931034482758621,0
"3323","Nevada, USA",700,2400,0.866666666666667,0.0482269503546099,0.914893617021277,0
"3324","Nevada, USA",800,2400,0.878787878787879,0.0387378944079975,0.917525773195876,0
"3325","Nevada, USA",900,2400,0.894736842105263,0.0268317853457172,0.92156862745098,0
"3326","Nevada, USA",1000,2400,0.897435897435897,0.0248941996514812,0.922330097087379,0
"3327","Nevada, USA",1100,2400,0.842105263157895,0.0402476780185758,0.882352941176471,0
"3328","Nevada, USA",1200,2400,0.660714285714286,0.0226190476190476,0.683333333333333,0
"3329","Nevada, USA",1300,2400,0.65625,0.00528846153846154,0.661538461538462,0
"3330","Nevada, USA",1400,2400,0.53125,0.0339673913043478,0.565217391304348,0
"3331","Nevada, USA",1500,2400,0.46875,0.0455357142857143,0.514285714285714,0
"3332","Nevada, USA",1600,2400,0.375,0.0770547945205479,0.452054794520548,0
"3333","Nevada, USA",1700,2400,0.328125,0.0985416666666667,0.426666666666667,0
"3334","Nevada, USA",1800,2400,0.265625,0.107708333333333,0.373333333333333,0
"3335","Nevada, USA",1900,2400,0.1875,0.109797297297297,0.297297297297297,0
"3336","Nevada, USA",2000,2400,0.109375,0.0934222027972028,0.202797202797203,0
"3337","Nevada, USA",2100,2400,0.0625,0.104166666666667,0.166666666666667,0
"3338","Nevada, USA",2200,2400,0.046875,0.0494212962962963,0.0962962962962963,0
"3339","Nevada, USA",2300,2400,0.03125,0.0293560606060606,0.0606060606060606,0
"3340","Nevada, USA",2400,2400,0,0,0,0
"3341","Nevada, USA",2500,2400,0,0.163636363636364,0.163636363636364,0
"3342","Nevada, USA",2600,2400,0.0217391304347826,0.160079051383399,0.181818181818182,0
"3343","Nevada, USA",2700,2400,0.024390243902439,0.213704994192799,0.238095238095238,0
"3344","Nevada, USA",2800,2400,0.0571428571428571,0.276190476190476,0.333333333333333,0
"3345","Nevada, USA",2900,2400,0.0571428571428571,0.276190476190476,0.333333333333333,0
"3346","Nevada, USA",3000,2400,0.0666666666666667,0.33758865248227,0.404255319148936,0
"3347","Nevada, USA",3100,2400,0.08,0.40314606741573,0.48314606741573,0
"3348","Nevada, USA",3200,2400,0.0588235294117647,0.546114742193174,0.604938271604938,0
"3349","Nevada, USA",3300,2400,0,0.684210526315789,0.684210526315789,0
"3350","Nevada, USA",3400,2400,0,0.753424657534247,0.753424657534247,0
"3351","Nevada, USA",3500,2400,0,0.828571428571429,0.828571428571429,0
"3352","Nevada, USA",3600,2400,0,0.939393939393939,0.939393939393939,0
"3353","Nevada, USA",3700,2400,0,0.969230769230769,0.969230769230769,0
"3354","Nevada, USA",200,2500,1,0,1,0
"3355","Nevada, USA",300,2500,1,0,1,0
"3356","Nevada, USA",400,2500,1,0,1,0
"3357","Nevada, USA",500,2500,0.952380952380952,0.0177683013503909,0.970149253731343,0
"3358","Nevada, USA",600,2500,0.956521739130435,0.0144927536231884,0.971014492753623,0
"3359","Nevada, USA",700,2500,0.966666666666667,0.00701754385964912,0.973684210526316,0
"3360","Nevada, USA",800,2500,0.96969696969697,0.00498657460682777,0.974683544303797,0
